ID,lexeme,phonetic,interlinearization,morphology,dialects,notes,linguistic_history,source,soundSource,soundFile,speakerName,speakerHometown,speakerAge,speakerGender,en_gloss,hi_gloss,semanticDomain,semanticDomain.2,partOfSpeech,partOfSpeech fullname,vernacular_exampleSentence,en_exampleSentence,hi_exampleSentence,semanticDomain.3,photoFile,photoSource,pluralForm
Entry Id,Lexeme/Word/Phrase,Phonetic (IPA),Interlinearization,Morphology,Dialects,Notes,Linguistic History,Source(s),Audio source,Audio filename,Speaker name,Speaker birthplace,Speaker decade,Speaker gender,English Gloss,हिन्दी Gloss,Semantic domain 1,Semantic domain 2,Part of speech 1 (abbreviation),Part of speech 1,Example sentence in mahasuvi,Example sentence in English,Example sentence in हिन्दी,Semantic domain 3,Image filename,Source of image,Plural form
02MwEJooCSK0KBeQ6vtY,रिष्करा,,,,"Shimla Saraji, Shadochi, Kumharsain, Bishshau",,,,,,,,,,someone who is possessive and distrustful of their partner,अपने साथी पे स्वामित्व जताने वाला व्यक्ति और शंका करने वाला,"Humans, Social Relations and Organization",Emotions,,,,,,,,,
04ZD5AVal1Z7NtYAV0a6,पोगड़णा,,,,"Shimla Saraji, Bishshau",,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2F04ZD5AVal1Z7NtYAV0a6_1653296962835.wav?alt=media,04ZD5AVal1Z7NtYAV0a6_invocation_of_deity_in_his_Oracles_body.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,invocation of deity in his Oracle's body,अपने प्रवक्ता के शरीर में देवता का आह्वान,Spirituality and Religion,Interjections,v,verb,,,,,,,
04pHUubRD9xt3d7Zpf5I,तैंईं,,,,Shadochi,,,,,,,,,,for (me/someone),के लिए (मैं / कोई),,,conj,conjunction,मेरी तैंईं आऔ सौ,He came for me.,वह मेरे लिए आया था।,,,,
05tuZTnOa2FuTpjfEtjb,मंडा,,,,Chuhara,,,,,,,,,,repeatedly saying the same thing over and over,रट लगाना,Language and Communication,,v,verb,दोती ओरु तेरी मंडा शुणी शुणियौ कान दुखिगौए मेरे,Listening to say the same thing repeatedly since morning has hurt my ears.,,,,,
080S3TaCb8cze7OH98LI,प्रेण,,,,Shimla Saraji,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2F080S3TaCb8cze7OH98LI_1653297039015.wav?alt=media,080S3TaCb8cze7OH98LI_Identify.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Identify,पहचानो,Mental actions,,v,verb,,,,,,,
09yRkgcqGnZogtoFBPw1,छनालु,,,,Shimla Saraji,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2F09yRkgcqGnZogtoFBPw1_1653125070289.wav?alt=media,09yRkgcqGnZogtoFBPw1_Heart.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Heart,हृदय,Body parts,,n,noun,,,,,,,
0AN6yXGNETjn4U9eRoNH,ओश,,,,"Barari, Chuhara, Rohruri (Spail)",,,,,,,,,,moisture/dew,नमी / ओस,"Water, bodies of water and the water cycle",,,,,,,,,,
0BPJXzA1xzPuQgstVMQK,फीम,,,,,,,,,,,,,,Opium,अफ़ीम,"Plants, trees and other vegetation",,,,,,,,,,
0K2fqtBb3MIbq4IQX5ku,माछरणो,,,,Sharachali,,,,,,,,,,to get agitated,उत्तेजित होना,Emotions,Mental actions,v,verb,केऊ माछरूऐ लागो,Why are you getting agitated?,तुम उत्तेजित क्यों हो रहे हो?,,,,
